timestamp,open,close,high,low,volume
2017-12-11,139.0,141.95,147.3,138.46,16688167
2017-12-04,130.22,138.86,141.96,129.95,19875847
2017-11-27,132.0,130.22,132.25,128.01,21719414
2017-11-20,132.51,132.17,136.05,131.25,9721937
2017-11-13,131.19,132.38,136.55,131.0,15610051
2017-11-06,131.92,130.83,133.0,129.0,16463090
2017-10-30,135.25,131.46,135.25,131.07,16289587
2017-10-23,131.41,135.25,137.39,131.0,17910024
2017-10-16,133.1,130.75,137.2,130.38,16909013
2017-10-09,138.21,133.0,138.94,132.05,20872067
2017-10-02,132.29,137.97,138.1,131.52,13932094
2017-09-25,128.66,132.29,133.49,127.01,12694787
2017-09-18,131.5,128.65,133.0,125.51,17586110
2017-09-11,131.4,130.83,135.98,130.7,16919399
2017-09-04,136.85,131.4,136.9,128.0,20305636
2017-08-28,127.64,136.83,139.92,126.0,22289890
2017-08-21,127.8,127.64,128.91,125.21,17274621
2017-08-14,134.0,127.49,134.1,126.66,17867383
2017-08-07,129.95,133.3,135.4,129.06,25582048
2017-07-31,123.2,128.75,129.62,123.2,19332329
2017-07-24,124.78,123.57,127.28,121.0,20564327
2017-07-17,123.88,124.02,127.88,121.73,19668748
2017-07-10,119.62,124.19,125.09,118.68,14963119
2017-07-03,116.0,120.52,121.75,114.38,20115730
2017-06-26,107.74,115.65,117.44,107.29,21329204
2017-06-19,102.89,107.0,108.09,102.09,25297773
2017-06-12,104.07,102.95,105.63,100.82,26829561
2017-06-05,107.8,109.19,110.7,107.0,27408358
2017-05-29,108.45,108.6,116.0,107.0,129192745
2017-05-22,108.99,108.5,108.99,105.62,30104291
2017-05-15,104.5,109.0,111.89,103.05,44268347
2017-05-08,108.1,103.8,109.0,103.01,7159636
2017-05-01,108.1,106.99,109.54,106.31,7973237
2017-04-24,101.7,107.75,109.07,101.7,19067868
2017-04-17,104.7,101.35,105.6,97.57,23779818
2017-04-10,109.46,104.21,109.96,101.88,25412738
2017-04-03,113.3,110.85,114.0,109.2,12332198
2017-03-27,112.0,113.11,114.26,108.5,16551885
2017-03-20,114.5,111.98,116.94,109.63,25327257
2017-03-13,108.0,114.16,116.0,105.6,22554235
2017-03-06,111.72,108.04,115.21,105.37,24495223
2017-02-27,116.37,111.5,116.87,100.68,20889157
2017-02-20,122.25,116.37,123.01,115.75,12099304
2017-02-13,121.16,122.99,124.75,119.82,17259791
2017-02-06,120.3,121.29,122.9,117.52,22816829
2017-01-30,116.98,119.19,122.0,116.0,25375815
2017-01-23,110.85,116.8,117.7,108.32,27263870
2017-01-16,113.44,110.0,115.5,109.1,16027130
2017-01-09,112.98,113.44,116.75,111.1,19895901
2017-01-02,115.0,112.14,117.7,111.75,12833147
2016-12-26,111.94,114.98,115.0,111.51,10606113
2016-12-19,115.15,111.48,115.32,110.29,15043236
2016-12-12,113.63,115.18,117.5,108.21,38253751
2016-12-05,114.6,113.0,122.1,112.7,34853194
2016-11-28,120.0,115.0,124.78,114.31,18773308
2016-11-21,116.02,119.39,119.91,113.02,16579837
2016-11-14,117.7,115.5,118.79,113.88,17595983
2016-11-07,100.16,117.35,118.94,99.84,40190990
2016-10-31,95.2,99.7,105.16,94.85,23882571
2016-10-24,87.71,95.8,98.5,87.71,20042520
2016-10-17,87.31,87.71,90.93,85.92,11684264
2016-10-10,86.4,87.04,89.16,84.61,8573357
2016-10-03,82.95,86.4,86.93,82.5,8832027
2016-09-26,87.07,82.94,87.97,82.18,10873634
2016-09-19,82.98,87.35,89.01,81.32,15373046
2016-09-12,91.16,82.74,91.16,82.41,16895210
2016-09-05,91.8,91.77,92.59,90.41,6364490
2016-08-29,91.39,91.57,92.04,89.1,9218775
2016-08-22,92.55,91.5,94.74,91.0,7493088
2016-08-15,91.97,92.7,93.5,90.63,9898030
2016-08-08,93.22,91.97,94.76,90.62,9329870
2016-08-01,95.41,93.02,96.27,91.1,10836850
2016-07-25,91.21,95.29,96.7,88.88,14760967
2016-07-18,89.71,90.34,94.49,88.04,12216658
2016-07-11,84.48,90.39,90.58,83.6,12320930
2016-07-04,83.81,84.52,84.52,79.53,12932980
2016-06-27,81.15,83.7,83.93,78.54,10590453
2016-06-20,79.84,81.06,82.69,78.08,13160360
2016-06-13,77.0,79.9,80.37,76.26,9598227
2016-06-06,80.9,77.7,82.24,75.53,20557580
2016-05-30,85.9,80.45,86.5,79.05,12207785
2016-05-23,84.82,85.4,86.12,82.11,9790280
2016-05-16,84.09,84.98,87.0,84.0,9254440
2016-05-09,86.41,83.65,87.33,82.35,12592440
2016-05-02,87.37,87.1,88.9,81.79,16235750
2016-04-25,91.83,89.25,94.45,85.75,17391610
2016-04-18,87.61,92.01,95.8,87.12,21588380
2016-04-11,90.5,88.22,91.0,83.5,18272670
2016-04-04,86.46,90.09,91.5,85.62,16470020
2016-03-28,82.09,86.28,86.71,80.05,18515020
2016-03-21,80.15,82.09,84.44,79.0,19688020
2016-03-14,78.15,78.26,81.11,77.0,18500377
2016-03-07,75.54,78.11,78.11,74.9,12491290
2016-02-29,72.95,75.58,75.86,71.6,13925640
2016-02-22,72.7,73.0,75.52,72.21,14652610
2016-02-15,73.4,73.29,78.16,71.77,31185690
2016-02-08,70.5,72.96,73.5,68.8,25723840
2016-02-01,65.5,71.0,71.05,65.33,28874290
2016-01-25,62.11,65.5,67.03,60.38,35582830
2016-01-18,56.51,62.0,62.1,55.51,25322510
2016-01-11,58.8,57.5,62.59,57.0,25756840
2016-01-04,62.99,60.75,63.0,59.53,10710290
2015-12-28,61.8,62.6,63.4,61.03,10829160
2015-12-21,59.51,61.83,61.89,57.9,26537960
2015-12-14,64.8,59.45,65.39,59.26,33091630
2015-12-07,67.91,64.89,68.2,64.07,29272350
2015-11-30,71.3,67.77,71.41,67.11,15573650
2015-11-23,72.0,70.88,72.8,70.0,17227351
2015-11-16,71.48,71.95,74.29,70.85,19509260
2015-11-09,75.87,71.08,78.84,70.83,18615782
2015-11-02,78.1,75.24,79.47,74.92,16776750
2015-10-26,72.94,78.2,78.99,70.95,18632210
2015-10-19,72.89,73.02,75.27,72.55,10214040
2015-10-12,73.0,72.8,76.28,71.41,12381550
2015-10-05,70.58,72.7,73.37,69.34,15868224
2015-09-28,74.37,69.9,75.44,68.52,15181720
2015-09-21,81.82,74.14,82.04,73.65,12708250
2015-09-14,80.08,82.31,83.0,79.76,7348280
2015-09-07,77.5,79.95,81.4,77.23,10503940
2015-08-31,78.8,77.3,81.0,77.0,10609202
2015-08-24,83.35,78.62,84.98,77.16,14509500
2015-08-17,85.0,83.67,86.32,83.5,8009960
2015-08-10,80.09,84.62,85.5,79.69,10593190
2015-08-03,79.3,79.94,81.98,78.6,11237379
2015-07-27,77.76,79.22,80.65,77.19,12515770
2015-07-20,76.16,77.9,78.33,74.99,9022457
2015-07-13,76.62,76.58,79.68,76.17,13328227
2015-07-06,74.41,76.45,78.08,71.83,13738786
2015-06-29,73.88,74.5,75.8,73.7,7654970
2015-06-22,73.27,74.2,75.3,73.06,15237005
2015-06-15,70.59,73.45,73.48,70.32,10860380
2015-06-08,75.68,72.8,75.71,71.61,10810150
2015-06-01,73.9,75.2,75.97,71.11,13022390
2015-05-25,73.71,73.0,76.0,72.05,13578660
2015-05-18,72.15,73.67,74.46,68.8,13312800
2015-05-11,69.23,72.1,72.85,69.13,13766440
2015-05-04,68.34,69.0,69.7,66.5,11187980
2015-04-27,68.0,68.28,70.34,67.31,7887880
2015-04-20,68.17,67.54,72.17,65.5,23562950
2015-04-13,70.3,68.0,72.93,65.2,21912140
2015-04-06,77.69,69.87,78.98,68.15,12851550
2015-03-30,73.36,77.83,79.17,73.3,15095530
2015-03-23,78.15,73.11,78.55,71.22,17372630
2015-03-16,77.85,78.02,79.3,76.21,9062120
2015-03-09,81.13,77.8,81.44,76.3,10030180
2015-03-02,81.88,81.6,87.81,80.15,15960740
2015-02-23,84.0,81.1,85.44,80.5,4897710
2015-02-16,89.25,85.9,89.78,83.02,10671020
2015-02-09,91.15,89.2,93.5,87.7,13258290
2015-02-02,92.0,91.05,93.6,87.16,11490360
2015-01-26,79.22,92.0,92.0,77.12,20177950
2015-01-19,75.7,79.51,82.0,73.94,17370100
2015-01-12,67.8,75.7,75.99,67.3,14960670
2015-01-05,65.51,67.9,68.33,64.68,8604975
2014-12-29,69.06,66.79,73.0,54.31,5349850
2014-12-22,69.7,68.88,72.32,65.02,13901400
2014-12-15,60.72,68.79,75.44,55.43,40516320
2014-12-08,60.85,60.61,62.84,56.57,19462320
2014-12-01,60.17,60.71,65.38,59.61,30545160
2014-11-24,60.78,60.43,60.8,57.12,20725370
2014-11-17,59.29,60.51,61.99,59.1,19284710
2014-11-10,57.89,59.36,62.58,57.89,28718290
2014-11-03,55.17,57.58,59.03,54.9,21481735
2014-10-27,51.0,55.06,55.95,51.0,42556280
2014-10-20,50.22,50.62,50.65,48.0,28039360
2014-10-13,53.21,50.29,54.09,49.81,19653199
2014-10-06,56.35,53.31,56.68,53.06,9909696
2014-09-29,57.0,55.65,58.38,55.1,10126205
2014-09-22,56.03,56.9,57.29,55.55,6785630
2014-09-15,54.57,56.34,57.9,53.9,12287723
2014-09-08,54.55,54.9,56.28,53.56,8367290
2014-09-01,53.44,54.55,55.66,52.0,11049980
2014-08-25,54.0,53.26,54.73,52.62,10186841
2014-08-18,51.0,54.1,54.54,50.63,10214520
2014-08-11,48.53,51.4,51.87,48.52,11311310
2014-08-04,47.41,48.32,48.69,46.13,10664399
2014-07-28,47.34,47.3,49.45,45.8,9359070
2014-07-21,48.9,47.27,48.91,46.28,9623342
2014-07-14,48.86,48.79,50.7,48.45,10927330
2014-07-07,49.14,48.9,50.92,48.01,11415464
2014-06-30,47.33,49.09,49.96,46.41,12763160
2014-06-23,48.0,47.0,48.32,44.9,11674560
2014-06-16,47.9,47.8,50.3,46.83,14446377
2014-06-09,49.59,48.33,49.74,47.78,6346420
2014-06-02,47.05,49.27,49.27,46.81,12229320
2014-05-26,49.0,47.0,52.07,46.52,13365260
2014-05-19,47.02,49.0,49.16,46.32,15644983
2014-05-12,43.5,46.12,46.48,43.04,15132930
2014-05-05,41.5,43.31,45.0,40.58,10061560
2014-04-28,40.55,41.4,42.53,40.0,9308360
2014-04-21,44.0,40.99,44.24,40.06,10460770
2014-04-14,43.73,43.99,45.33,41.26,10518350
2014-04-07,43.64,44.12,44.5,42.03,16784510
2014-03-31,42.75,44.18,45.23,42.51,19117090
2014-03-24,40.95,42.73,43.78,40.52,19678850
2014-03-17,39.52,40.5,43.0,38.9,26178900
2014-03-10,44.99,39.3,45.2,36.05,19245810
2014-03-03,46.0,45.35,46.86,40.03,32829520
2014-02-24,51.11,48.28,52.48,47.21,14962820
2014-02-17,53.06,51.23,54.0,51.03,11015860
2014-02-10,53.6,52.93,53.98,52.55,8540490
2014-02-03,51.86,53.53,53.53,50.31,17806090
2014-01-27,53.6,51.78,54.23,51.51,16865260
2014-01-20,54.6,53.9,56.15,53.9,10903360
2014-01-13,54.84,54.77,55.6,54.04,9165020
2014-01-06,54.61,54.88,55.15,52.75,9663600
2013-12-30,54.38,55.18,55.18,54.38,1365890
2013-12-23,54.9,54.35,55.32,54.1,9781190
2013-12-16,52.28,54.78,55.94,52.13,17618410
2013-12-09,52.88,52.5,56.38,51.6,11346300
2013-12-02,53.73,52.45,54.18,51.07,18566300
2013-11-25,53.45,53.75,55.44,53.15,16255340
2013-11-18,51.31,53.06,54.3,50.84,23509090
2013-11-11,53.6,50.86,54.45,50.0,16888260
2013-11-04,55.49,53.25,55.76,53.0,10292520
2013-10-28,55.02,55.25,56.25,54.65,10564130
2013-10-21,56.85,54.77,57.57,54.72,14178660
2013-10-14,53.98,56.82,57.55,53.5,22267900
2013-10-07,52.0,54.06,54.66,51.56,11624650
2013-09-30,53.7,52.26,53.7,51.32,13373730
2013-09-23,56.38,54.0,56.49,53.71,12689550
2013-09-16,55.29,56.3,57.89,55.25,13435650
2013-09-09,54.4,54.99,57.87,54.16,15797070
2013-09-02,54.94,53.85,56.58,53.7,4815140
2013-08-26,52.92,53.48,53.89,50.74,11176000
2013-08-19,53.35,52.72,53.64,50.5,14689960
2013-08-12,53.87,53.14,56.15,52.32,20778500
2013-08-05,48.61,53.83,53.9,47.05,25449850
2013-07-29,47.29,48.41,49.28,47.26,12307390
2013-07-22,48.09,47.49,49.67,47.02,14678340
2013-07-15,46.02,47.93,48.7,45.67,17901150
2013-07-08,44.6,45.78,46.85,43.4,18217350
2013-07-01,44.45,44.47,45.18,43.3,18892510
2013-06-24,41.19,43.29,43.34,41.01,17609330
2013-06-17,41.53,41.79,43.33,41.05,28939070
2013-06-10,44.9,41.27,45.04,40.22,22631500
2013-06-03,44.46,44.35,45.25,43.5,20505850
2013-05-27,47.0,44.7,47.6,44.47,22989620
2013-05-20,46.21,46.92,49.65,45.76,28703250
2013-05-13,51.75,45.99,52.89,44.42,29022384
2013-05-06,53.62,51.49,53.9,50.9,13027000
2013-04-29,53.02,53.56,54.26,50.4,13857210
2013-04-22,51.2,53.32,54.98,49.91,29810940
2013-04-15,49.8,50.68,51.1,46.41,34185090
2013-04-08,46.5,50.42,50.97,45.73,39623820
2013-04-01,48.8,46.09,49.05,45.51,27617280
2013-03-25,50.9,49.05,51.24,46.65,27582040
2013-03-18,53.59,50.45,53.75,50.39,28964710
2013-03-11,57.33,54.59,58.17,54.35,27083310
2013-03-04,57.5,57.25,58.3,56.3,14062740
2013-02-25,58.66,57.95,59.85,57.4,15341260
2013-02-18,61.1,58.52,62.02,58.5,13263006
2013-02-11,62.0,61.4,63.35,60.77,23463670
2013-02-04,64.03,61.91,64.3,61.2,25920080
2013-01-28,66.32,63.6,67.35,62.82,25748040
2013-01-21,68.6,65.99,68.7,64.71,20244910
2013-01-14,65.89,68.44,68.91,65.89,29896650
2013-01-07,64.0,65.81,66.25,63.55,22474520
2012-12-24,62.15,61.2,62.53,60.52,1125250
2012-12-17,62.79,62.15,62.99,61.12,6689494
2012-12-10,61.88,62.71,64.38,61.78,5843147
2012-12-03,62.7,62.1,62.7,61.02,1635682
2012-11-26,62.48,62.38,62.68,60.35,5554414
2012-11-19,60.41,62.48,62.67,60.03,2044834
2012-11-12,59.81,59.99,60.64,58.62,18431216
2012-11-05,62.34,59.58,63.24,58.35,11734538
